title,price,content,url
"중고나라 앱 회원 구매 안내 댓글, 운영진 계정 공개(2025.02.10)",가격 정보 없음,"안녕하세요, 중고나라입니다.
최근 중고나라 카페 내에서 앱 회원 구매 안내 댓글을 안내하는 운영진을 사칭한 계정이 발견되었습니다.
이로 인한 피해를 방지하기 위해 운영진 확인 방법과 명단을 공개합니다.
운영진 명단에 포함되지 않은 계정의 연락이나 요청은 절대 응하지 말아주시길 바랍니다.
1. 중고나라 운영진 확인 방법
- 중고나라 운영진의 계정은 카페 필명 옆, 카페 스텝임을 나타내는 🆂 를 확인 할 수 있습니다.
- 운영진으로 보여지나, 🆂 가 아닌 다른 등급은 중고나라 운영진이 아닙니다.
2. 중고나라 공식 운영진 사용 링크
- 공식 링크 : http://chat.joongna.com/b_cafe
- 공식 링크가 아닌 다른 형태는 중고나라에서 제공한 것이 아닙니다.
앱 안내 댓글 예시
◼︎ 중고나라 앱 회원 구매 안내 댓글, 운영진 계정
- 댓글에 포함된 링크 클릭 금지 : 운영진 사칭 계정이 남긴 링크는 피싱 사이트로 연결될 가능성이 높습니다.
- 의심스러운 계정에 개인 정보나 금전적 정보를 절대 제공하지 마세요.
- 명단에 없는 계정이 운영진을 사칭할 경우, 즉시 중고나라 고객센터를 통해 신고해주시길 바랍니다.
- 이와 관련된 보다 상세한 정보는 중고나라 앱 회원 구매 안내 댓글, 운영진 사칭 주의 안내를 참고해 주세요.
No.
카페 필명
계정 아이디
1
중고나라채팅알리미1
ny*****1
2
중고나라채팅알리미9
hm*****p
3
중고나라채팅알리미10
s****n
4
중고나라채팅알리미11
jn********l
5
중고나라채팅알리미15
mi*************a
6
중고나라채팅알리미19
jo*********n
7
중고나라채팅알리미20
be********8
8
중고나라채팅알리미21
un*****g
9
중고나라채팅알리미27
sh****5
10
중고나라채팅알리미28
re********t
11
중고나라채팅알리미71
sh*****i
12
중고나라채팅알리미83
sh********e
중고나라 앱 회원 구매 안내 댓글을 확인하실 때 각별히 주의해 주시길 바랍니다.
감사합니다.",https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&menuid=356&boardtype=L&page=1&specialmenutype=&userDisplay=15&articleid=1089618133
중고나라가 알려주는 사기 예방 tip,가격 정보 없음,"1. 피싱사이트
가짜 결제 사이트를 전송하여 결제를 유도하는 사기 수법
중고나라 주요 사기 패턴 - 피싱 사이트(주소창)
* 가짜 결제 사이트의 경우 보안서버(https)를 사용하지 않고 http로 시작되며,
웹사이트 이용시 주소창에 자물쇠 표시가 없으니 주의하세요!
또한, 정상적인 안전 거래는 채팅 내 외부 링크 첨부가 불가하며
중고나라 카페 또는 앱 내에서만 결제가 가능합니다.
네이버 결제창과 유사하니 주의하세요!
중고나라 주요 사기 패턴 - 피싱 사이트(예금 주명)
2. 상품권 바코드 탈취
일부 노출된 바코드를 읽기 프로그램을 이용하여 복원한 뒤 가로채는 수법
* 바코드 탈취 후 다른 사람에게 재판매할 수 있어요!
중고나라 주요 사기 패턴 - 상품권 바코드 탈취
3. 3자 사기 (입금자명 변경)
판매자와 구매자에게 동시에 접근하여 구매자로 하여금 판매자에게 송금하게 하고
판매자에게는 자신이 송금한 것처럼 속여 물건을 가로채는 3자 사기 수법
중고나라 주요 사기 패턴 - 3자 사기
*사기꾼은 입금자명을 변경 요청해요!
4. 구매 게시글 접근
구매(삽니다) 게시글에 판매자인 척 접근하여 잠적하는 사기 수법
* 사기꾼이 사용하는 물품 사진은 도용한 사진일 확률이 높아요!
5. 무료나눔 개인정보 도용
무료나눔 이벤트를 가장하여 개인 정보를 수집하는 사기 수법
* 개인 정보가 유출되어 계정 도용이 일어날 수 있어요!
6. 외부 메신저 유도
중고나라 내 채팅을 거부하고 외부 메신저를 통해 거래하는 사기 수법
* 휴대폰 번호를 노출하지 않기 위해 메신저 아이디를 사용하는 경우가 많아요!
7. 도용 신분증 인증 사기
신분증 인증을 제안하여 계좌 거래 후 잠적하는 사기 수법
* 사기꾼은 도용한 신분증을 인증할 확률이 높아요!
실제 사례를 바탕으로 한 대화 내역과
관련 사기 주요 패턴을 보고 싶다면,
아래를 눌러 사기예방법 전문을 확인해주세요.
사기예방법에서는
메신저 ID(카톡, 라인 등)까지 조회할 수 있는
더 새로워진
'중고나라 사기 통합 조회'
소식도 함께 확인할 수 있습니다.",https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&menuid=356&boardtype=L&page=1&specialmenutype=&userDisplay=15&articleid=994948311
[5월 중나유심] 요금 인상 NO! 평생 통신비 할인 혜택,가격 정보 없음,"중나유심 신청하고 혜택받기
중나유심 신청하고 혜택받기
중나유심 가입만 하면 중나마일리지 100% 증정!
럭키룰렛 돌리면 상품권 10만원 더!
구매후기만 쓰면 GS25상품권 100% 증정!
최대 20GB 데이터 매월 무료 증정!
신세계상품권 증정!(인터넷/IPTV 결합 등)
평생 중도 요금 인상 NO!
5G 휴대폰도 가입 OK!
('25년 5월 이벤트)
- 현금처럼 사용하는 중나마일리지 100% 증정!
- 럭키룰렛 돌리고 개통하면 상품권 최대 10만원!
- 구매후기 작성하면 GS25상품권 100%에 네이버페이 추가 증정!
- 모두의결합 신청하면 24개월간 매월 5~20GB데이터 무료 증정!
- 인터넷(IPTV) 결합하면 상품권 최대 47만원 등 117만원 혜택!
- 7쿠폰 100% 제공!
- 5월 특가! 10GB/2000분 13,800원, 4GB/2000분 8,690원, 2GB/2000분 7,180원
- 중도 요금 인상 No! 평생 할인된 요금 그대로!
- 중나유심 요금제는 5G 핸드폰에서도 가입 가능합니5
[중나유심 혜택 알아보기]",https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&menuid=356&boardtype=L&page=1&specialmenutype=&userDisplay=15&articleid=1060879795
중고나라 이용 정책 (2024.10.08 적용),가격 정보 없음,"중고나라 통합 이용 정책
건전한 거래 문화를 만들기 위한 중고나라 카페 통합 이용 정책을 안내해 드립니다.
아래 이용 정책을 준수해 주시기 바랍니다.
더 나은 중고나라를 만들기 위해 함께 노력해 주세요!
▶ 판매자는 구매자에게 판매하는 상품에 대한 정확한 정보를 제공해 주세요.
- 제품명/판매금액/제품상태/수량 등
▶ 판매자에게 일방적인 과도한 요청은 하지 말아 주세요.
- 과도한 금액 할인 요청, 제품 착용 사진 요구 등
▶ 판/구매자는 불가피한 사정으로 거래가 어려운 경우 상대방에게 미리 이야기해 주세요.
▶ 판/구매자는 따뜻한 중고거래 환경을 위해 서로에게 매너 있게 소통해 주세요.
▶ 판매 게시글 등록 시, 판매 상품에 맞는 게시판과 [말머리]를 선택하여 구매자가 빠르게 판매 게시글을 검색할 수 있도록 해주세요.
▶ 판매 게시글 등록 시 제목에 특수문자 사용은 피해주세요.
▶ 판매 게시글 등록 시 판매 상품의 정확한 가격을 입력해 주세요.
▶ 1개의 판매 게시글에 판매 상품이 2개 이상인 경우 상품 중 최소 금액을 기준으로 가격을 입력해 주세요.
안전한 중고나라를 위해 꼭 지켜주세요!
▶ 모든 카테고리를 포함하여 1 계정당 1일 최대 5개의 게시글을 등록할 수 있어요.
초과되는 게시글의 경우, 게시글 삭제 및 서비스 활동 제한 조치 될 수 있어요.
▶ 이상 거래 의심 행위가 확인되는 경우, 게시글 삭제 및 서비스 활동 제한 조치 될 수 있어요.
- 사기 및 이상 거래 의심
- 불법 및 범죄 행위 의심
▶ 상대방에게 불쾌감을 줄 수 있는 행위가 확인되는 경우, 게시글 삭제 및 서비스 활동 제한 조치 될 수 있어요.
▶ 거래 제한 상품을 판매하는 경우, 게시글 삭제 및 서비스 활동 제한 조치가 될 수 있어요.
▶ 유해 사이트 또는 광고 링크를 게시글 내에 등록하는 경우, 게시글 삭제 및 서비스 활동 제한 조치 될 수 있어요.
▶ 상업 목적 행위로 활동하는 경우, 게시글 삭제 및 서비스 활동 제한 조치 될 수 있어요.
*해당 이용 정책은 2024년 10월 08일 화요일 오전 11시부터 적용됩니다.
*셀러 회원의 경우 셀러지원센터 내 카테고리별 ‘셀러 이용 정책’을 참고해주세요.
*회사의 운영 상황에 따라 이용 정책은 변경될 수 있으며, 변경된 사항은 사전 공지 후 적용됩니다.",https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&menuid=356&boardtype=L&page=1&specialmenutype=&userDisplay=15&articleid=1082322224
빠르게 판매하기 위한 Tip 알려드릴게요!,가격 정보 없음,,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&menuid=356&boardtype=L&page=1&specialmenutype=&userDisplay=15&articleid=1027951961
중고나라 모든 상품을 한 번에 보고 싶다면?,가격 정보 없음,"안녕하세요, 중고나라입니다.
중고나라의 모든 상품을 한 번에 보고 싶다면?
중고나라 앱을 다운로드하고
더 편리하게 이용해 보세요!
▼ 클릭하고 앱 다운 받기!
회원님들의 더 편리한 중고나라 이용을 위해 노력하겠습니다.
감사합니다.",https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&menuid=356&boardtype=L&page=1&specialmenutype=&userDisplay=15&articleid=1017803822
"<쇼핑몰,로드샵 봄,여름 의류 정리>",가격 정보 없음,"배송비 반값택배 1800원or일반택배 3200원 이에요.구매할분 010-이팔이일-0595 문자주세요.
일러스트 블라우스-오천원
사이즈(S)총기장 약57
상태 최상
<새제품>플리츠 블라우스-만원
사이즈(S~M)총기장 약60
상태 최상
<새제품>플라워 핑크 블라우스-만원
사이즈(S~M)총기장 약56
<새제품>스트라이프 러플 블라우스-만원
사이즈(S) 총기장 약53
<새제품>플라워 블라우스(옐로우/스카이)-한벌 만원
사이즈(S~M) 총기장 약55
레이스 블라우스-만원
사이즈(S) 총기장 약53
상태 최상
핑크 체크 셔츠-만원
사이즈(S~M)총기장 약60
상태 최상
<새제품>스웨이드 블라우스-15000원
사이즈(S~M)총기장 약63
<새제품>차이나 플라워 블라우스-15000원
사이즈(S~M)총기장 약63
일러스트 블라우스-만원
사이즈(S)총기장 약53
상태 최상
로즈 블라우스(핑크/그린)-한벌 이만원
사이즈(S~M)총기장 약62
상태 최상
<새제품>야상 셔츠-만원
사이즈(S~M)총기장 약56
LAP 스트라이프 셔츠(스카이/핑크)-한벌 이만원(정가 한벌 칠만구천원)
사이즈(S)총기장 약58
상태 최상
진주 타이 블라우스-이만원
사이즈(S~M)총기장 약63
상태 최상
<새제품>잔꽃 블라우스-만원
S~M 총기장 약60
시스루 블라우스-만원
사이즈(S~M)총기장 약55
상태 최상
도트 블라우스-15000원
사이즈(S~M)총기장 약61
상태 최상
끈포인트 민소매(화이트/블랙)-한벌 만원
사이즈(S~M)총기장60
상태 최상
반에이크 플라워 민소매-5000원
사이즈(S~M)총기장 약60
<새제품>날개소매 반팔 두벌-5000원
사이즈(S~M)총기장 약63
살구 반팔-오천원
사이즈(S)총기장 약54
상태 최상
게스 반팔-만원
사이즈(S)총기장 약66
상태 최상
크롭 반팔-오천원
사이즈(S)총기장 약40
상태 최상
영문 반팔-오천원
사이즈(S)총기장 약54
상태 보통
<새제품>호피 뷔스티에 원피스-이만원
사이즈(S~M)총기장 약95
뷔스티에 린넨 원피스-만원
사이즈(S~M) 총기장 약98
<새제품>뷔스티에 원피스-만원
사이즈(S~M)총기장 약89
뷔스티에 가든 원피스-만원
사이즈(S~M)총기장 약93
상태 최상
<새제품>린넨 원피스-만원
사이즈(S)총기장 약82
체크 벨트 세트 모직 원피스-만원
사이즈(S~M)총기장 약80
상태 최상
<새제품>데이지 원피스-만원
S 총기장 약82
<새제품>랩 플라워 원피스-만원
S 총기장 약84
<새제품>코듀로이 플라워 원피스-이만원
사이즈(S~M)총기장 약87
<새제품>허리 셔링 원피스-15000원
사이즈(S~M)총기장 약95
셔츠 원피스-이만원
사이즈(S~M)총기장 약92
상태 최상
가오리 원피스- 만원
사이즈(S)총기장 약83
상태 최상
베이직 하우스 맨투맨 원피스-오천원
사이즈(S)총기장 약80
상태 최상
<새제품>폼폼이 원피-한벌 만원(아이보리/그레이)
사이즈(S)총기장 약95
<새제품>허리 셔링 원피스(화이트/블랙)-만원
사이즈(S~M)총기장약83
그물 가디건-오천원
사이즈(S~M)총기장 약56
상태 최상
<새제품>뜨게 가디건-만원
사이즈(S~M)총기장 약54
<새제품>아가일 가디건-이만원
사이즈(S~M)총기장 약55
브이넥 가디건-만원
사이즈(S)총기장 약52
상태 최상
지퍼 니트 가디건 S-만원
왕단추 가디건-만원
사이즈(S)총기장 약50
상태 최상
<새제품>부클 가디건(아이보리/블랙)-한벌 만원
사이즈(S~M)총기장 약57
<새제품>부클 가디건(아이보리/블랙)-한벌 만원
사이즈(S~M)총기장 약57
<새제품>깃털 자켓-만원
사이즈(S~M)총기장 약52
불독 자켓-15000원
사이즈(S)총기장 약50
상태 최상
홀리스터 자켓-만원
S 가슴단면 약45 총기장 약60
상태 최상
반스 양면 자켓-만오천원
M 가슴단면 약55 총기장 약65
상태 최상
<새제품>자주 자켓-만원
사이즈(S)총기장 약63
9부 카키 자켓-만원
사이즈(S)총기장 약52
상태 최상
카키 숏 자켓-만원
사이즈(S)총기장 약50
상태 최상
<새제품>카키 하이 자켓-만원
사이즈(S)총기장 약58
니트 후드 자켓-15000원
사이즈(S~M)총기장 약56
상태 최상
지퍼 니트 가디건 S-만원
<새제품>GU 네이비 자켓-이만원
사이즈(S)총기장 약58
<새제품>체크 자켓-15000원
사이즈(S~M)총기장 약64
<새제품>블랙 숏자켓-15000원
사이즈(S~M)총기장 약50
와펜 자켓-만원
사이즈(S)총기장 약62
상태 최상
플라스틱아일랜드 후드 자켓-삼만원
사이즈(S)총기장 약65
후드 탈부착 가능해요.상태 좋아요.
<새제품>숲 9부 리넨 코트-이만원
사이즈(S)총기장 약88
<새제품>베이지 트렌치 코트-15000원
사이즈(S~M)총기장 약85
싱글 네이비 코트-만원
사이즈(S~M)총기장 약80
상태 좋아요.
<새제품>미센스 간절기 코트-20000원
사이즈(S)총기장 약90 어깨 약48 가슴 약44
바닐라비 싱글 코트-10000원
사이즈(S~M)총기장 약86
상태 최상",https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&page=1&menuid=356&boardtype=L&articleid=1107317367&referrerAllArticles=false
아뜨랑스 보트넥 입술넥 니트 반팔 티셔츠,가격 정보 없음,"※ 카페 상품 게시글은 자동으로 중고나라 앱/사이트에 노출합니다. 노출을 원하지 않으실 경우 고객센터로 문의 바랍니다.
※ 등록한 게시글이 회원의 신고를 받거나 이상거래로 모니터링 될 경우 중고나라 사기통합조회 DB로 수집/활용될 수 있습니다.
※ 게시글 내 외부 링크(타 플랫폼 주소, 카카오 오픈채팅 주소 등)을 등록하는 경우, 게시글 삭제 및 서비스 활동 제한 조치를 받을 수 있습니다.
👆 오늘 작성가능한 게시글 수가 부족하다면, 상단에 ""중고나라 앱 다운받기""를 통해서 앱에서 작성해 보세요!
───────────────────
📢 제목에 ""제조사/ 브랜드 명""과 “상품명”을 넣어 작성하면, 보다 빠른 판매가 가능합니다!
📢 게시글 작성 시 배송 방법에 “직거래”와 “내 위치” 설정할 경우, 보다 빠른 판매가 가능합니다!
🚨회원님의 거래 게시글을 노린 중고나라 운영진 사칭 피싱 사이트를 주의하세요🚨
핑크 / size F (실측 사진 참고)
한번도 안입은 새상품
<필독>
- 문의 및 구입은 채팅
- 반값택배 +2,000원, 일반택배 +4,000원
- 예약순 아닌 선입금순 판매
- 기본적인 예의(찔러보기, 읽씹, 에눌) 안지킬 시 바로 차단
- 구매의사는 <1일 이내>, 1일 넘어갈 시 차단
- 중고 특성상 하자가 있을 수 있으니 예민하신 분은 구매 자제
- 반품, 환불 X 신중히 구매 부탁",https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&page=1&menuid=356&boardtype=L&articleid=1107317364&referrerAllArticles=false
"<한벌 만원>쇼핑몰,로드샵 슬랙스,청바지,스커트 등등",가격 정보 없음,"배송비 일반택배 3200원or반값택배 1800원 이에요. 구매할분 안심번호 문자주세요.
일자 슬랙스-만원
S 허리 약66 엉덩이 약45 허벅지 약27 총기장 약88
상태 최상
트임 슬랙스 모직-만원
S 허리둘레 약66 총기장 약90
상태 최상
와이드 린넨-만원
S 허리둘레 밴딩 약63~68 총기장 약88
상태 최상
<새제품>와이드 린넨 카키-만원
배기 아이보리-만원
S 허리둘레 밴딩 약62~68 총기장 약88
상태 최상
일자 아이보리-만원
S 허리둘레 약66 총기장 약88
상태 최상
<새제품>일자 소라-만원
S 허리둘레 약65 밑위 약27 총기장 약95
세미와이드 베이지-만원
S 허리둘레 약66 총기장 약90
상태 최상(보풀 일어난듯한건 원래 재질임)
<새제품>일자 베기핏 아이보리-만오천원
<새제품>일자 베기핏 아이보리-이만원
M
데님 중청 스키니 찢청-만원
S 허리둘레 약68 총기장 약88
상태 최상
데님 중청 일자 찢청-만원
상태 최상
여름용 데님 텐셀 일자-만원
S 허리둘레 약65 힙 약40 밑단 약36 총기장 약89
상태 최상
<새제품>데님 일자 중청-만원
<새제품>데님 밴딩 일자 진청-만원
S 허리둘레 밴딩 약65 총기장 약87
데님 일자 그레이-만원
S 허리둘레 약66 총기장 약89
상태 최상
여름용 데님 부츠컷-만원
기본 기장
<새제품>데님 부츠컷-만원
S 허리둘레 약64 힙 약43 밑단 약41 총기장 약100
데님 진청 부츠컷-만원
S 허리둘레 약65 힙 약40 밑단 약44 총기장 약87
상태 최상
<새제품>데님 진청 부츠컷-만원
S 허리둘레 약64 총기장 약93
<새제품>데님 중청 하이웨스트-만원
S 허리둘레 약65 총기장 약95 밑위 약28
<새제품>데님 연청 베기핏 찢청-만원
S 허리둘레 약63 총기장 약90
<새제품>데님 중청 베기핏 찢청-만원
S 허리둘레 약65 총기장 약92
데님 진청 일자 본딩-만원
S 허리둘레 약65 총기장 약90
상태 최상
<새제품>데님 진청 일자 융털-만원
데님 중청 부츠컷 융털-만오천원
S 허리둘레 약66 엉덩이 약84 허벅지 약46 밑단 약46 총기장 약90
상태 최상
<새제품>데님 진청 세미와이드 융털-만오천원
<새제품>코듀로이 스커트 베이지-만오천원
S 허리둘레 약65 총기장 약75",https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&page=1&menuid=356&boardtype=L&articleid=1107317337&referrerAllArticles=false
더바넷 반팔 새상품,가격 정보 없음,"더바넷 반팔 새상품
봉지도 안뜯은 새상품입니다 !
반값택뱌 (2000)환불불가
※ 카페 상품 게시글은 자동으로 중고나라 앱/사이트에 노출합니다. 노출을 원하지 않으실 경우 고객센터로 문의 바랍니다.
※ 등록한 게시글이 회원의 신고를 받거나 이상거래로 모니터링 될 경우 중고나라 사기통합조회 DB로 수집/활용될 수 있습니다.
※ 게시글 내 외부 링크(타 플랫폼 주소, 카카오 오픈채팅 주소 등)을 등록하는 경우, 게시글 삭제 및 서비스 활동 제한 조치를 받을 수 있습니다.
👆 오늘 작성가능한 게시글 수가 부족하다면, 상단에 ""중고나라 앱 다운받기""를 통해서 앱에서 작성해 보세요!
───────────────────
📢 제목에 ""제조사/ 브랜드 명""과 “상품명”을 넣어 작성하면, 보다 빠른 판매가 가능합니다!
📢 게시글 작성 시 배송 방법에 “직거래”와 “내 위치” 설정할 경우, 보다 빠른 판매가 가능합니다!
🚨회원님의 거래 게시글을 노린 중고나라 운영진 사칭 피싱 사이트를 주의하세요🚨",https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&page=1&menuid=356&boardtype=L&articleid=1107317290&referrerAllArticles=false
