category,title,price,status,date,nickname,url
여성패션,페이지유 오브엘 니트,"90,000원",판매,2025.06.02. 13:13,enffl,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&page=1&menuid=356&boardtype=L&articleid=1107329897&referrerAllArticles=false
여성패션,LIST 리스트 여름 반팔 원피스,"15,000원",판매,2025.06.02. 13:15,오리더꽥,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&page=1&menuid=356&boardtype=L&articleid=1107329880&referrerAllArticles=false
여성패션,여성 민소매블라우스 새거 화이트색상(77-88도가능),"23,000원",판매(안전),2025.06.02. 13:15,디오포포,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&page=1&menuid=356&boardtype=L&articleid=1107329826&referrerAllArticles=false
여성패션,게스 청자켓 택포4만원,"40,000원",판매,2025.06.02. 13:15,Stevenlee,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&page=1&menuid=356&boardtype=L&articleid=1107329758&referrerAllArticles=false
여성패션,안다르 레깅스,"10,000원",판매,2025.06.02. 13:14,잰머야,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&page=1&menuid=356&boardtype=L&articleid=1107329756&referrerAllArticles=false
여성패션,루디아k청바지77 2사이즈,"48,000원",판매,2025.06.02. 13:13,멜로디,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&page=1&menuid=356&boardtype=L&articleid=1107329572&referrerAllArticles=false
여성패션,스투시 다이스 블러쉬 딸기우유색 반팔,"110,000원",판매,2025.06.02. 13:13,웅구101,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&page=1&menuid=356&boardtype=L&articleid=1107329482&referrerAllArticles=false
여성패션,쥬시쥬디원피스,"70,000원",판매중,날짜 정보 없음,닉네임 없음,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&page=1&menuid=356&boardtype=L&articleid=1107329408&referrerAllArticles=false
여성패션,포에토 모헤어 오버핏 자켓(딥네이비) 팝니다,"90,000원",판매,날짜 정보 없음,댕댕댕쓰,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&page=2&menuid=356&boardtype=L&articleid=1107329408&referrerAllArticles=false
여성패션,게스 청자켓 택포4만원,"40,000원",판매,날짜 정보 없음,Stevenlee,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&page=2&menuid=356&boardtype=L&articleid=1107329375&referrerAllArticles=false
여성패션,새상품) 린(lynn) 핀턱 블라우스 55,"50,000원",판매,2025.06.02. 13:15,두 남자 사이,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&page=2&menuid=356&boardtype=L&articleid=1107329296&referrerAllArticles=false
여성패션,리코리타 반팔 베이직 자켓,"68,000원",판매,2025.06.02. 13:14,온뉴리맘,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&page=1&menuid=356&boardtype=L&articleid=1107329438&referrerAllArticles=false
여성패션,새상품) 린(lynn) 핀턱 블라우스 55,"50,000원",판매,2025.06.02. 13:15,두 남자 사이,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&page=1&menuid=356&boardtype=L&articleid=1107329430&referrerAllArticles=false
여성패션,자라 정품 핑크 미니원피스 M사이즈 팝니다 7794/939,"29,000원",판매,2025.06.02. 13:11,쿠키쿠키킼,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&page=1&menuid=356&boardtype=L&articleid=1107329415&referrerAllArticles=false
여성패션,쥬시쥬디원피스,"70,000원",판매,2025.06.02. 13:15,지염이,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&page=2&menuid=356&boardtype=L&articleid=1107329282&referrerAllArticles=false
여성패션,포에토 모헤어 오버핏 자켓(딥네이비) 팝니다,"90,000원",판매,2025.06.02. 13:18,댕댕댕쓰,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&page=2&menuid=356&boardtype=L&articleid=1107329233&referrerAllArticles=false
여성패션,게스 청자켓 택포4만원,"40,000원",판매,2025.06.02. 13:15,Stevenlee,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&page=2&menuid=356&boardtype=L&articleid=1107329232&referrerAllArticles=false
여성패션,새상품) 린(lynn) 핀턱 블라우스 55,"50,000원",판매,2025.06.02. 13:15,두 남자 사이,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&page=2&menuid=356&boardtype=L&articleid=1107329159&referrerAllArticles=false
여성패션,8부 연청바지,"18,000원",판매,2025.06.02. 13:09,btsbutter,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&page=2&menuid=356&boardtype=L&articleid=1107329062&referrerAllArticles=false
여성패션,자라 정품 핑크 미니원피스 M사이즈 팝니다 7794/939,"29,000원",판매,2025.06.02. 13:11,쿠키쿠키킼,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&page=2&menuid=356&boardtype=L&articleid=1107328976&referrerAllArticles=false
